"Ground","City","Batting","Pace","Spin"
"Eden Gardens","Kolkata","1.0","1.00","1.05"
"Rajiv Gandhi International Stadium","Hyderabad","1.05","1.0","1.00"
"MA Chidambaram Stadium","Chennai","1.0","1.00","1.10"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","1.0","1.00","1.05"
"Narendra Modi Stadium","Ahmedabad","1.05","1.05","1.00"
"Barsapara Cricket Stadium","Guwahati","1.0","0.95","1.00"
"Wankhede Stadium","Mumbai","1.1","1.07","1.00"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","1.0","1.00","1.0"
"M.Chinnaswamy Stadium","Bengaluru","1.1","1.0","1.10"
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","Chandigarh","1.05","1.00","1.00"
"Sawai Mansingh Stadium","Jaipur","1.0","0.95","1.00"
"Arun Jaitley Stadium","Delhi","1.0","0.95","1.00"
"Himachal Pradesh Cricket Association Stadium","Dharamsala","1.0","0.95","1.00"
